#test,netsynth-time,netsynth-mem,verifypn.269-time,verifypn.269-mem
Geant2012_4,280,56176,51,6624
Getnet_1,218,23792,10,5900
Getnet_2,245,25228,10,6164
Getnet_3,231,25548,14,6164
Getnet_4,203,36180,13,6428
Globenet_1,134,33024,12,6100
Globenet_2,281,45316,13,6048
Globenet_3,283,56124,30,6592
Globenet_4,1487,69064,203,7492
Goodnet_1,185,24700,10,5900
Goodnet_2,162,27032,11,6096
Goodnet_3,181,27820,13,6120
Goodnet_4,139,42456,17,6428
Gridnet_1,147,24480,10,5900
Gridnet_2,124,25072,9,6092
Gridnet_3,86,27384,10,6164
Gridnet_4,139,33548,11,6052
Grnet_1,109,25668,8,6096
Grnet_2,228,35124,8,6096
Grnet_3,174,41284,11,6360
Grnet_4,195,56488,35,6652
GtsCe_1,157,44896,11,6428
GtsCe_2,207,56160,26,6648
GtsCe_3,517,69000,103,7132
GtsCe_4,2135,71092,150,7812
GtsCzechRepublic_1,107,27604,8,6096
GtsCzechRepublic_2,148,43720,10,6428
GtsCzechRepublic_3,197,55444,14,6360
GtsCzechRepublic_4,322,56736,30,6436
GtsHungary_1,152,24916,8,5972
GtsHungary_2,105,29428,10,6096
GtsHungary_3,151,52300,14,6360
GtsHungary_4,146,55812,21,6520
GtsPoland_1,136,27824,10,6164
GtsPoland_2,90,41008,8,6036
GtsPoland_3,108,55652,14,6360
GtsPoland_4,183,56948,46,6684
GtsRomania_1,68,24472,15,6096
GtsRomania_2,119,27900,11,5976
GtsRomania_3,88,28384,26,6164
GtsRomania_4,183,55808,29,6436
GtsSlovakia_1,63,24976,11,5900
GtsSlovakia_2,79,25444,8,6096
GtsSlovakia_3,102,40060,10,6040
GtsSlovakia_4,168,55888,20,6436
Harnet_1,110,23824,11,6096
Harnet_2,77,24456,9,6096
Harnet_3,91,32100,13,6164
Harnet_4,138,47160,17,6428
Heanet_1,88,24344,10,5900
Heanet_2,53,24700,11,6096
Heanet_3,55,27308,13,6100
Heanet_4,82,35456,14,6360
HiberniaCanada_1,123,25368,17,6096
HiberniaCanada_2,79,29244,9,6096
HiberniaCanada_3,118,40936,26,6360
HiberniaCanada_4,183,55868,44,6520
HiberniaGlobal_1,160,55152,49,6036
HiberniaGlobal_2,174,55632,13,6308
HiberniaGlobal_3,284,56348,33,6504
HiberniaGlobal_4,697,68888,292,7584
HiberniaIreland_1,48,25080,61,5900
HiberniaIreland_2,85,26396,31,6164
HiberniaIreland_3,125,29224,17,6096
HiberniaIreland_4,123,50492,31,6360
HiberniaNireland_1,101,26420,22,6164
HiberniaNireland_2,93,30844,37,6164
HiberniaNireland_3,87,31820,42,6428
HiberniaNireland_4,237,56236,39,6664
HiberniaUk_1,73,24036,38,6156
HiberniaUk_2,72,30096,10,6164
HiberniaUk_3,106,45636,47,6360
HiberniaUk_4,208,56320,66,6660
HiberniaUs_1,79,28280,32,6092
HiberniaUs_2,101,33268,44,6100
HiberniaUs_3,137,51608,45,6428
HiberniaUs_4,447,61100,68,6348
Highwinds_1,64,24176,51,5900
Highwinds_2,85,29916,10,6096
Highwinds_3,84,45500,12,6356
Highwinds_4,139,55740,20,6480
HostwayInternational_1,65,25168,8,5900
HostwayInternational_2,94,29256,10,6164
HostwayInternational_3,118,55504,17,6420
HostwayInternational_4,170,56168,76,6652
HurricaneElectric_1,50,25364,10,5900
HurricaneElectric_2,72,29392,10,6164
HurricaneElectric_3,93,34060,27,6116
HurricaneElectric_4,196,55936,32,6504
Ibm_1,77,23872,23,6096
Ibm_2,101,30408,12,6032
Ibm_3,197,52036,12,6360
Ibm_4,221,55920,21,6436
Iij_1,206,23704,11,5896
Iij_2,131,28644,10,6096
Iij_3,375,35324,12,6108
Iij_4,284,54296,25,6532
Iinet_1,342,24020,12,5900
Iinet_2,846,26480,12,6164
Iinet_3,2277,30520,14,6096
Iinet_4,2329,40892,18,6328
Ilan_1,1988,24572,13,5900
Ilan_2,2108,25080,15,6160
Ilan_3,2273,33308,13,6096
Ilan_4,2001,52720,19,6424
Integra_1,2152,24452,10,5900
Integra_2,2290,35924,13,6164
Integra_3,2096,53184,16,6428
Integra_4,1846,56140,50,6516
Intellifiber_1,189,37196,14,6096
Intellifiber_2,206,53512,1108,6360
Intellifiber_3,570,57060,55,6508
Intellifiber_4,724,71040,1197,7488
Internetmci_1,242,25848,33,5900
Internetmci_2,429,24140,979,6096
Internetmci_3,433,29564,1035,6108
Internetmci_4,322,43116,987,6428
Internode_1,662,26240,1027,6092
Internode_2,463,28792,999,6164
Internode_3,467,41376,997,6420
Internode_4,409,55760,986,6480
Interoute_1,400,33600,1005,6040
Interoute_2,632,55652,929,6408
Interoute_3,517,56796,1022,6356
Interoute_4,800,68984,1177,7464
Intranetwork_1,365,27820,962,6164
Intranetwork_2,412,55428,900,6320
Intranetwork_3,685,58860,1001,6556
Intranetwork_4,630,69104,1128,7412
Ion_1,481,54432,871,6428
Ion_2,530,56428,902,6404
Ion_3,495,61568,940,6812
Ion_4,1459,71152,937,7696
IowaStatewideFiberMap_1,394,29328,918,6048
IowaStatewideFiberMap_2,379,33592,910,6104
IowaStatewideFiberMap_3,334,55796,963,6528
IowaStatewideFiberMap_4,797,66884,928,6636
Iris_1,180,27328,898,6088
Iris_2,371,38324,908,6428
Iris_3,355,55700,17,6452
Iris_4,613,59804,72,6640
Istar_1,291,23744,12,5900
Istar_2,423,28428,11,6164
Istar_3,584,32428,13,6044
Istar_4,472,56056,46,6368
Janetbackbone_1,578,24956,10,5896
Janetbackbone_2,364,29264,12,6164
Janetbackbone_3,311,45412,18,6428
Janetbackbone_4,491,56864,65,6800
Janetlense_1,417,24632,13,6096
Janetlense_2,397,25360,10,6164
Janetlense_3,482,29328,12,6096
Janetlense_4,505,40412,16,6428
Karen_1,648,26780,11,6096
Karen_2,413,30740,12,6164
Karen_3,340,33080,17,6428
Karen_4,454,56300,29,6600
Kdl_1,534,56700,14,6552
Kdl_2,940,68920,48,7228
Kdl_3,9980,84368,257,8584
Kdl_4,12132,100924,1212,11808
KentmanApr2007_1,252,24016,21,6096
KentmanApr2007_2,241,27224,25,6048
KentmanApr2007_3,352,29040,26,6036
KentmanApr2007_4,287,52424,18,6328
KentmanAug2005_1,212,26032,10,6096
KentmanAug2005_2,370,26548,10,6164
KentmanAug2005_3,236,40464,13,6424
KentmanAug2005_4,325,56144,32,6452
KentmanFeb2008_1,326,25240,9,6096
KentmanFeb2008_2,158,25232,10,5980
KentmanFeb2008_3,168,31732,13,6036
