#test,netsynth-time,netsynth-mem,verifypn.269-time,verifypn.269-mem
Garr200902_4,2612,73388,1178,8504
Garr200908_1,254,55848,631,6376
Garr200908_2,456,62948,753,6960
Garr200908_3,1459,69112,212,7536
Garr200908_4,1207,71112,270,7860
Garr200909_1,287,55640,11,6360
Garr200909_2,162,56252,15,6432
Garr200909_3,618,60552,121,6900
Garr200909_4,4869,76212,1918,13096
Garr200912_1,546,55220,9,6356
Garr200912_2,687,56428,19,6540
Garr200912_3,925,69012,166,6872
Garr200912_4,3141,71956,316,8276
Garr201001_1,553,53944,59,6428
Garr201001_2,474,55708,74,6384
Garr201001_3,462,61700,91,6788
Garr201001_4,619,71160,240,7288
Garr201003_1,3600000,120000000,67,6444
Garr201003_2,395,57152,56,6528
Garr201003_3,427,61376,53,6608
Garr201003_4,1563,73028,124,7712
Garr201004_1,366,40132,51,6120
Garr201004_2,3600000,120000000,119,7144
Garr201004_3,464,61260,112,6484
Garr201004_4,1326,71408,344,8244
Garr201005_1,3600000,120000000,11,6456
Garr201005_2,377,56924,16,6616
Garr201005_3,815,69016,58,6840
Garr201005_4,982,69092,332,7640
Garr201007_1,246,32268,42,6036
Garr201007_2,262,55652,153,6404
Garr201007_3,352,57144,853,6328
Garr201007_4,1155,69184,187,7140
Garr201008_1,64,44484,145,6096
Garr201008_2,124,55696,422,6320
Garr201008_3,939,68908,356,7896
Garr201008_4,827,71172,655,7824
Garr201010_1,76,38612,181,6428
Garr201010_2,222,58588,598,6564
Garr201010_3,581,68960,415,7076
Garr201010_4,1494,71140,486,7984
Garr201012_1,67,38320,342,6360
Garr201012_2,378,66880,1175,6648
Garr201012_3,539,68940,404,6456
Garr201012_4,3913,74132,628,8372
Garr201101_1,108,42408,578,6352
Garr201101_2,257,56740,369,6668
Garr201101_3,231,59832,383,6628
Garr201101_4,2407,71936,638,7696
Garr201102_1,132,46504,526,6428
Garr201102_2,3600000,120000000,3126,37340
Garr201102_3,645,68984,738,6952
Garr201102_4,2057,72156,834,8332
Garr201103_1,147,55336,611,6428
Garr201103_2,146,56024,1151,6552
Garr201103_3,247,62164,29,6800
Garr201103_4,1613,73172,2979,28176
Garr201104_1,126,55580,18,6276
Garr201104_2,185,55920,18,6444
Garr201104_3,1271,69056,130,7224
Garr201104_4,1494,71024,137,7584
Garr201105_1,162,44556,14,6360
Garr201105_2,211,56140,17,6468
Garr201105_3,500,66984,104,6988
Garr201105_4,3742,76096,940,10592
Garr201107_1,243,54072,11,6360
Garr201107_2,303,56504,23,6588
Garr201107_3,468,66928,27,6804
Garr201107_4,2428,72168,118,7940
Garr201108_1,209,44864,15,6428
Garr201108_2,134,55836,16,6416
Garr201108_3,784,66952,71,6952
Garr201108_4,1956,71076,335,7748
Garr201109_1,3600000,120000000,19,6452
Garr201109_2,164,56816,111,6668
Garr201109_3,519,67068,58,6600
Garr201109_4,1510,72172,495,8456
Garr201110_1,81,40688,91,6428
Garr201110_2,140,56200,131,6560
Garr201110_3,1068,69012,145,7128
Garr201110_4,4723,73936,404,8284
Garr201111_1,86,47280,68,6096
Garr201111_2,351,57112,69,6700
Garr201111_3,432,68940,408,6808
Garr201111_4,7899,80060,726,8252
Garr201112_1,140,55320,333,6428
Garr201112_2,156,55868,340,6480
Garr201112_3,541,69176,441,7356
Garr201112_4,5302,80308,1752,11716
Garr201201_1,203,56400,311,6608
Garr201201_3,3179,74100,425,8232
Garr201201_4,45980,132096,2170,13740
Gblnet_1,263,49304,272,6040
Gblnet_2,231,55544,306,6364
Gblnet_3,422,61420,304,6312
Gblnet_4,1089,68880,363,7096
Geant2001_1,273,56552,333,6248
Geant2001_2,562,62572,351,6956
Geant2001_3,5783,80316,735,9236
Geant2001_4,12849,97040,2054,14864
Geant2009_1,281,57264,31,6632
Geant2009_2,897,68912,50,6784
Geant2009_3,5484,78264,474,8568
Geant2009_4,23612,105352,2860,16068
Geant2010_1,151,55332,139,6044
Geant2010_2,440,57212,143,6468
Geant2010_3,3600000,120000000,3600000,120000000
Geant2010_4,2897,72040,408,8268
Geant2012_1,142,43856,85,6116
Geant2012_2,250,55828,70,6432
Geant2012_3,512,61100,70,6608
Geant2012_4,1454,71400,270,7812
Getnet_1,180,35768,88,6164
Getnet_2,175,36636,99,6104
Getnet_3,310,56192,84,6500
Getnet_4,392,61244,116,6568
Globalcenter_1,78,26068,43,6096
Globalcenter_2,211,55140,91,6428
